Trend across 126 log file(s):
state_id                                                     count     min_ms     avg_ms     max_ms  latest_ms
install_pkg_aur_oh_my_posh                                      77       2.60       2.76       3.12       2.68
install_pkg_aur_par                                             77       2.55       2.76       3.23       2.61
install_pkg_aur_pinentry_rofi                                   77       2.56       2.76       3.28       2.60
install_pkg_aur_raysession                                      77       2.56       2.76       3.33       2.60
proxypilot_service_daemon_reload                                82       0.00       2.76     225.80       0.00
install_pkg_media                                               77       2.59       2.75       3.23       2.74
install_pkg_aur_epr_git                                         77       2.56       2.75       3.20       2.81
install_pkg_aur_neo_matrix                                      77       2.59       2.75       3.12       2.65
install_pkg_aur_raise                                           77       2.51       2.75       3.33       2.61
install_pkg_aur_rmlint                                          77       2.57       2.75       3.53       2.61
install_pkg_aur_pipemixer                                       77       2.54       2.73       3.13       2.59
openclaw_service_daemon_reload                                  81       0.00       2.72     220.31       0.00
greetd_greeter_wrapper                                          77       2.34       2.50       3.41       2.49
salt_drift_timer_daemon_reload                                  77       0.00       2.47     190.41       0.00
kanata_legacy_cleanup                                           53       1.92       2.44       6.04       2.23
mail_mount                                                      77       2.24       2.42       3.12       2.44
salt_drift_service_daemon_reload                                77       0.00       2.40     184.45       0.00
kanata_load_uinput                                              77       2.13       2.39       3.07       2.35
music_mount                                                     77       2.19       2.37       3.06       2.35
vid_mount                                                       77       2.14       2.37       3.11       2.46
doc_mount                                                       77       2.15       2.36       3.02       2.40
torrent_mount                                                   77       2.15       2.36       2.99       2.39
games_mount                                                     77       2.18       2.36       3.22       2.35
amnezia_build                                                   77       2.04       2.35       5.43       2.42
llama_embed_service                                             77       1.86       2.33       4.05       2.10
sudo_nopasswd                                                   78       1.89       2.31       2.54       2.46
mpd_fifo                                                        77       2.02       2.26       4.12       2.33
salt-daemon_service                                             77       1.95       2.18       4.87       2.08
openclaw_config_migrate                                         81       1.99       2.18       3.49       2.26
openclaw_dualagent_migrate                                      81       1.97       2.17       4.04       2.18
openclaw_guest_user_migrate                                     81       1.94       2.17       4.76       2.10
promtail_legacy_cleanup                                         53       1.89       2.15       6.57       2.02
openclaw_groq_stt_migrate                                       81       1.94       2.13       3.24       2.78
loki_legacy_cleanup                                             53       1.96       2.13       3.05       2.11
openclaw_guest2_migrate                                         81       1.94       2.12       3.14       2.27
openclaw_telegram_reseed                                        76       1.92       2.12       4.66       2.00
ollama_service                                                  78       1.87       2.11       6.45       1.98
user_root                                                       78       1.82       2.10       4.23       2.11
image_gen_config_dir                                            35       0.85       2.10      37.30       1.10
cutter_lua_output_path                                          77       1.62       2.09       3.28       1.98
openclaw_telegram_creds                                         74       1.94       2.09       3.12       2.25
grafana_config                                                  77       1.67       2.06       3.34       2.10
user_neg                                                        78       1.62       1.94       3.72       1.80
install_dr14_tmeter                                             77       1.35       1.81      28.05       1.41
promtail_config                                                 77       1.56       1.76       2.32       1.69
install_wiremix                                                 77       1.47       1.69       1.96       1.77
kernel_modules_blacklist                                        77       1.46       1.65       2.17       1.69
install_pzip                                                    74       1.35       1.65      13.13       1.42
video_ai_generate_script                                        11       0.93       1.65       4.17       1.50
telethon_bridge_script                                          13       0.92       1.64       5.53       1.36
floorp_ext_ublock_origin                                        77       1.37       1.61      12.85       1.44
loki_config                                                     77       1.38       1.60       3.08       1.48
transmission_download_dir_setting                               77       1.24       1.59       2.23       1.61
qmk_udev_rules                                                  77       1.35       1.58       2.69       1.43
floorp_user_js                                                  77       0.92       1.58       6.83       1.95
transmission_watch_dir_setting                                  77       1.22       1.58       3.25       1.67
promtail_daemon_reload                                          77       0.00       1.57     120.48       0.00
